IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.49.246,8443,true,HKG,Asia Pacific,Hong Kong,76 ms,943 kB/s
8.210.3.24,2053,true,HKG,Asia Pacific,Hong Kong,604 ms,883 kB/s
47.76.218.163,443,true,HKG,Asia Pacific,Hong Kong,60 ms,876 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,568 ms,873 kB/s
8.210.34.188,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,851 kB/s
8.210.207.214,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,848 kB/s
47.238.36.250,80,true,SIN,Asia Pacific,Singapore,75 ms,832 kB/s
8.210.207.214,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,771 kB/s
8.219.60.54,2083,true,SIN,Asia Pacific,Singapore,293 ms,771 kB/s
8.210.3.24,8443,true,HKG,Asia Pacific,Hong Kong,569 ms,755 kB/s
47.76.178.146,2096,true,HKG,Asia Pacific,Hong Kong,542 ms,707 kB/s
8.218.63.172,443,true,HKG,Asia Pacific,Hong Kong,59 ms,643 kB/s
8.210.39.96,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,608 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,566 ms,579 kB/s
47.243.86.79,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,531 kB/s
8.210.207.214,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,518 kB/s
8.210.3.24,2096,true,HKG,Asia Pacific,Hong Kong,594 ms,495 kB/s
47.239.12.227,80,true,SIN,Asia Pacific,Singapore,87 ms,489 kB/s
47.76.49.246,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,489 kB/s
8.210.207.214,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,460 kB/s
8.210.34.188,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,448 kB/s
8.210.207.214,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,425 kB/s
47.76.49.246,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,422 kB/s
47.243.27.217,2096,true,HKG,Asia Pacific,Hong Kong,491 ms,403 kB/s
8.210.39.96,2053,true,HKG,Asia Pacific,Hong Kong,69 ms,384 kB/s
47.236.181.185,8443,true,SIN,Asia Pacific,Singapore,275 ms,329 kB/s
47.243.27.217,2083,true,HKG,Asia Pacific,Hong Kong,515 ms,323 kB/s
47.243.27.217,2087,true,HKG,Asia Pacific,Hong Kong,516 ms,313 kB/s
47.76.49.246,2096,true,HKG,Asia Pacific,Hong Kong,67 ms,310 kB/s
47.243.86.79,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,272 kB/s
8.210.3.24,2083,true,HKG,Asia Pacific,Hong Kong,608 ms,262 kB/s
47.76.37.57,8443,true,HKG,Asia Pacific,Hong Kong,585 ms,262 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,68 ms,233 kB/s
8.219.240.160,2087,true,SIN,Asia Pacific,Singapore,288 ms,230 kB/s
8.210.34.188,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,217 kB/s
47.76.37.57,2083,true,HKG,Asia Pacific,Hong Kong,634 ms,198 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,552 ms,182 kB/s
47.243.74.220,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,176 kB/s
47.236.130.95,2053,true,SIN,Asia Pacific,Singapore,293 ms,169 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,516 ms,166 kB/s
47.236.130.95,2087,true,SIN,Asia Pacific,Singapore,292 ms,144 kB/s
47.76.37.57,2087,true,HKG,Asia Pacific,Hong Kong,619 ms,137 kB/s
47.76.37.57,2096,true,HKG,Asia Pacific,Hong Kong,616 ms,137 kB/s
47.250.159.36,80,true,KUL,Asia Pacific,Kuala Lumpur,166 ms,42 kB/s
47.250.176.199,80,true,SIN,Asia Pacific,Singapore,175 ms,18 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,55 ms,14 kB/s
47.250.149.42,80,true,SIN,Asia Pacific,Singapore,156 ms,12 kB/s
47.250.57.45,80,true,KUL,Asia Pacific,Kuala Lumpur,168 ms,1 kB/s
47.74.4.97,443,true,NRT,Asia Pacific,Tokyo,133 ms,0 kB/s
8.219.67.133,8443,true,SIN,Asia Pacific,Singapore,285 ms,0 kB/s
8.210.34.188,2096,true,HKG,Asia Pacific,Hong Kong,57 ms,0 kB/s
,0,true,,,,,0 kB/s
47.250.153.55,80,true,SIN,Asia Pacific,Singapore,162 ms,0 kB/s
47.243.173.187,2053,true,HKG,Asia Pacific,Hong Kong,793 ms,0 kB/s
47.250.155.143,80,true,SIN,Asia Pacific,Singapore,166 ms,0 kB/s
47.250.150.193,80,true,SIN,Asia Pacific,Singapore,162 ms,0 kB/s
