IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.107.101.123,443,true,FRA,Europe,Frankfurt,225 ms,7138 kB/s
34.82.76.253,443,true,SEA,North America,Seattle,208 ms,6494 kB/s
34.154.45.210,443,true,FRA,Europe,Frankfurt,231 ms,6272 kB/s
34.107.106.55,443,true,FRA,Europe,Frankfurt,216 ms,6112 kB/s
35.234.95.210,443,true,FRA,Europe,Frankfurt,229 ms,5909 kB/s
34.91.15.225,443,true,FRA,Europe,Frankfurt,232 ms,5816 kB/s
34.32.151.133,443,true,FRA,Europe,Frankfurt,223 ms,5742 kB/s
34.118.14.243,443,true,FRA,Europe,Frankfurt,248 ms,5688 kB/s
34.116.228.88,443,true,FRA,Europe,Frankfurt,244 ms,5578 kB/s
34.154.122.9,443,true,FRA,Europe,Frankfurt,240 ms,5516 kB/s
34.118.50.142,443,true,FRA,Europe,Frankfurt,246 ms,5490 kB/s
34.118.114.221,443,true,FRA,Europe,Frankfurt,238 ms,5478 kB/s
34.116.137.3,443,true,FRA,Europe,Frankfurt,244 ms,5232 kB/s
34.82.188.91,443,true,SEA,North America,Seattle,215 ms,5187 kB/s
34.89.249.158,443,true,FRA,Europe,Frankfurt,229 ms,5154 kB/s
34.154.165.18,443,true,FRA,Europe,Frankfurt,227 ms,4938 kB/s
34.141.96.2,443,true,FRA,Europe,Frankfurt,221 ms,4933 kB/s
34.154.29.165,443,true,FRA,Europe,Frankfurt,240 ms,4890 kB/s
34.89.238.145,443,true,FRA,Europe,Frankfurt,222 ms,4785 kB/s
35.242.243.134,443,true,FRA,Europe,Frankfurt,270 ms,4768 kB/s
34.154.195.87,443,true,FRA,Europe,Frankfurt,229 ms,4741 kB/s
34.154.117.59,443,true,FRA,Europe,Frankfurt,240 ms,4575 kB/s
34.89.248.119,443,true,FRA,Europe,Frankfurt,224 ms,4521 kB/s
34.90.147.53,443,true,FRA,Europe,Frankfurt,229 ms,4402 kB/s
34.159.252.38,443,true,FRA,Europe,Frankfurt,273 ms,4220 kB/s
34.154.38.130,443,true,FRA,Europe,Frankfurt,279 ms,4099 kB/s
34.154.91.17,443,true,FRA,Europe,Frankfurt,286 ms,4050 kB/s
34.34.6.160,443,true,FRA,Europe,Frankfurt,283 ms,3957 kB/s
34.154.126.24,443,true,FRA,Europe,Frankfurt,281 ms,3578 kB/s
34.89.217.124,443,true,FRA,Europe,Frankfurt,270 ms,3344 kB/s
34.89.198.241,443,true,FRA,Europe,Frankfurt,279 ms,3208 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,311 ms,2415 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,242 ms,1972 kB/s
34.34.186.205,443,true,CDG,Europe,Paris,305 ms,1798 kB/s
34.154.119.138,443,true,FRA,Europe,Frankfurt,233 ms,1413 kB/s
34.32.211.101,443,true,FRA,Europe,Frankfurt,228 ms,1385 kB/s
34.107.25.251,443,true,FRA,Europe,Frankfurt,224 ms,1346 kB/s
34.154.223.145,443,true,FRA,Europe,Frankfurt,237 ms,1292 kB/s
35.197.23.75,443,true,SEA,North America,Seattle,195 ms,1104 kB/s
34.116.212.164,443,true,FRA,Europe,Frankfurt,250 ms,1100 kB/s
35.230.79.26,443,true,SEA,North America,Seattle,206 ms,902 kB/s
34.154.78.70,443,true,FRA,Europe,Frankfurt,231 ms,841 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,213 ms,764 kB/s
34.88.63.160,443,true,FRA,Europe,Frankfurt,342 ms,521 kB/s
35.247.124.181,443,true,SEA,North America,Seattle,192 ms,496 kB/s
34.66.72.229,443,true,ORD,North America,Chicago,254 ms,428 kB/s
34.41.252.92,443,true,ORD,North America,Chicago,246 ms,201 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,209 ms,80 kB/s
35.236.55.171,443,true,LAX,North America,Los Angeles,195 ms,0 kB/s
